uid,CC,ADV,CSD,CE,AIH,RMV,BCT,SMA,DL,CA,RS,CSS
2021300047,True,True,False,True,True,False,False,False,False,True,True,True
2021300048,False,False,False,False,True,False,True,True,False,True,False,True
2021300049,True,False,True,True,True,True,False,True,True,True,True,False
2021300050,True,True,True,True,False,False,True,False,False,True,True,True
2021300051,True,False,False,True,False,False,True,False,True,True,True,True
2021300052,False,False,False,True,True,False,True,True,False,False,False,False
2021300053,True,True,True,False,False,True,True,True,True,False,True,True
2021300054,True,True,False,True,True,False,True,False,True,True,True,True
2021300055,False,True,True,True,True,False,True,True,False,True,True,True
2021300056,True,True,False,True,True,True,True,False,False,False,False,False
2021300057,True,True,True,True,True,True,True,True,False,False,False,True
2021300058,True,False,False,True,False,False,False,False,True,False,False,True
2021300059,True,False,False,True,True,False,True,False,True,True,True,False
2021300060,False,True,True,False,True,False,False,True,True,False,False,True
2021300061,False,True,False,True,True,True,False,False,False,True,True,False
2021300062,True,True,True,True,False,True,False,True,False,True,False,False
2021300063,False,False,True,False,True,False,False,False,False,False,True,True
2021300064,False,True,False,True,False,True,True,True,True,True,True,True
2021300065,True,False,True,True,False,True,True,True,True,True,True,False
2021300066,False,False,True,False,False,False,True,False,True,True,True,False
2021300067,True,True,False,False,False,True,False,True,False,True,True,False
2021300068,False,False,False,False,False,False,True,True,False,False,False,True
2021300069,False,False,True,False,False,False,True,True,False,False,True,False
2021300070,False,True,False,True,False,True,True,True,True,True,True,True
2021300071,True,True,True,False,True,False,True,True,True,True,False,True
2021300072,True,True,True,False,False,True,True,False,True,True,True,False
2021300073,False,False,True,True,False,True,False,False,True,False,False,True
2021300074,False,True,False,True,False,True,True,False,True,False,False,True
2021300075,True,False,True,True,True,False,False,False,False,True,True,True
2021300076,False,True,True,False,False,True,True,False,False,False,True,False
2021300077,True,True,False,True,False,True,False,True,False,True,True,False
2021300078,True,True,False,False,True,False,False,False,True,True,False,True
2021300079,True,True,True,True,False,True,False,True,True,False,True,True
2021300080,True,True,False,False,True,True,False,True,True,True,True,False
2021300081,True,True,False,True,False,False,True,False,True,True,False,True
2021300082,True,False,True,True,False,False,True,False,False,False,False,True
2021300083,True,False,True,True,True,False,True,True,False,True,True,True
2021300084,True,True,True,True,False,False,True,True,True,True,True,False
2021300085,True,False,True,False,False,True,True,True,False,False,True,True
2021300086,True,False,True,True,False,True,True,True,True,True,True,True
2021300087,True,True,True,True,True,True,False,False,False,False,False,False
2021300088,True,True,True,True,True,False,False,False,True,True,False,False
2021300089,True,False,True,False,True,False,False,False,True,False,True,False
2021300090,True,False,False,False,False,True,True,True,True,False,False,True
2021300091,False,True,True,True,False,False,True,True,True,False,True,True
2021300092,False,False,False,True,False,True,False,False,False,False,False,True
2021300093,True,False,True,True,True,True,True,True,False,True,False,True
2021300094,True,True,True,True,False,False,True,True,True,False,False,True
2021300095,True,False,True,False,True,True,True,True,True,False,False,True
2021300096,True,True,True,True,True,False,True,True,False,True,False,False
2021300097,True,False,True,True,True,True,False,True,False,False,True,False
2021300098,True,True,True,True,False,False,True,True,True,False,True,True
2021300099,True,True,True,True,False,False,True,True,True,True,False,False
2021300100,True,True,True,False,True,True,False,False,True,True,True,True
2021300101,True,True,False,True,True,False,True,True,False,False,True,False
2021300102,True,True,False,True,False,False,True,True,True,False,True,True
2021300103,True,False,True,True,True,True,True,True,True,False,True,True
2021300104,False,True,True,False,False,True,True,True,True,False,False,True
2021300105,True,False,True,False,False,False,True,False,True,False,False,True
2021300106,True,False,False,True,False,True,True,False,False,False,False,True
2021300107,False,True,True,True,True,True,True,False,True,True,False,False
2021300108,True,False,True,False,False,True,False,True,False,False,False,True
2021300109,True,True,False,True,False,True,False,False,False,False,True,True
2021300110,False,True,True,True,True,False,False,True,True,True,True,False
2021300111,True,False,False,True,True,True,True,True,True,True,False,True
2021300112,False,True,False,True,False,True,True,True,True,True,False,True
2021300113,False,False,True,True,False,True,True,True,True,True,True,True
2021300114,True,False,True,True,False,True,True,False,True,True,True,False
2021300115,True,False,True,False,True,True,False,False,True,True,False,True
2021300116,False,False,True,False,True,False,True,True,False,True,False,True
2021300117,True,True,True,True,False,True,False,True,True,False,False,False
2021300118,False,False,False,True,False,True,False,True,False,True,False,True
2021300119,True,True,False,False,False,False,True,True,True,True,False,True
2021300120,False,True,True,True,False,True,True,False,True,False,True,True
2021300121,False,True,False,True,True,False,True,False,True,True,False,False
2021300122,True,True,True,True,True,True,False,False,True,False,False,True
2021300123,False,True,True,False,True,True,True,True,False,True,False,True
2021300124,True,True,True,True,True,False,True,False,True,False,False,True
2021300125,True,False,False,True,False,False,False,False,True,False,True,False
2021300126,False,True,True,False,False,True,True,True,True,True,True,False
2021300127,True,True,False,True,True,True,True,True,True,False,False,False
2021300128,False,False,False,True,True,True,True,False,True,False,False,True
2021300129,True,True,False,False,False,False,True,False,True,True,False,False
2021300130,False,True,True,True,True,True,False,True,True,True,False,True
2021300131,False,False,False,False,True,True,True,False,True,False,True,False
2021300132,False,True,True,True,True,True,True,True,False,False,False,False
2021300133,False,True,True,False,True,True,True,True,True,False,True,False
2021300134,True,True,False,True,True,True,True,False,False,True,True,True
2021300135,True,True,True,False,True,True,False,True,True,True,True,True
2021300136,False,False,True,True,True,True,False,True,False,False,True,False
2021300137,False,False,True,False,False,True,True,False,False,False,True,True
2021300138,True,True,True,False,True,False,False,True,False,False,False,False
2021300139,True,False,True,True,True,False,True,False,True,False,True,True
2021300140,True,False,True,False,False,True,True,True,False,False,False,False
2021300141,True,False,True,True,True,True,True,True,False,True,True,False
2021300142,True,True,False,True,True,True,False,True,True,True,True,True
2021300143,False,True,True,True,False,False,False,False,True,False,False,True
2021300144,False,True,True,False,True,True,False,False,False,False,False,False
2021300145,False,True,True,True,False,False,True,False,False,False,True,False
2021300146,False,False,False,True,False,False,False,False,True,False,False,False
2021300147,True,False,True,False,True,True,False,True,True,False,True,False
2021300148,False,False,True,False,True,False,False,False,True,True,True,False
2021300149,True,False,True,False,False,True,True,False,False,True,True,True
2021300150,True,True,True,False,True,False,True,True,False,True,False,False
2021300151,True,True,True,False,True,True,True,True,True,False,False,False
2021300152,True,False,False,True,True,True,True,True,True,False,False,True
2021300153,False,True,True,True,True,False,True,True,True,False,False,True
2021300154,True,False,True,True,False,True,True,False,True,True,False,False
2021300155,True,False,True,True,False,True,False,False,True,False,True,True
2021300156,False,False,False,False,True,True,False,False,True,True,False,False
2021300157,False,True,True,True,True,False,False,True,True,True,True,True
2021300158,False,True,False,False,False,True,True,False,False,True,True,True
2021300159,False,True,True,False,False,True,False,True,True,False,True,False
2021300160,True,True,True,True,True,True,True,True,True,True,True,True
2021300161,False,False,False,True,True,False,True,False,True,False,True,True
2021300162,True,True,False,True,True,True,False,True,True,True,False,True
2021300163,False,False,False,False,False,False,False,False,True,True,True,False
2021300164,True,False,True,True,True,True,False,False,True,True,False,True
2021300165,True,True,False,True,True,True,False,True,True,True,True,False
2021300166,True,True,False,False,True,True,False,True,True,True,True,True
2021300167,True,True,False,True,False,True,True,False,False,False,True,True
2021300168,False,True,False,True,False,True,False,True,False,False,True,False
2021300169,False,False,False,True,True,True,False,True,True,True,False,True
2021300170,True,True,False,True,False,True,False,True,True,True,False,False
2021300171,True,True,True,True,False,False,True,True,True,True,False,True
2021300172,True,True,False,False,False,True,False,True,True,True,True,True
2021300173,False,False,True,False,True,True,True,False,False,False,True,True
2021300174,False,True,True,False,False,False,False,True,False,False,True,True
2021300175,False,False,False,True,False,False,True,True,True,True,True,False
2021300176,True,True,False,True,True,False,False,False,True,False,False,False
2021300177,True,True,True,True,False,True,False,True,True,False,False,True
2021300178,False,True,False,False,True,True,True,True,False,True,True,True
2021300179,True,True,True,True,True,True,True,True,True,True,True,True
2021300180,True,True,False,True,True,True,False,True,True,False,False,True
2021300181,True,True,True,True,True,False,True,True,True,False,False,True
2021300182,True,True,True,False,False,True,True,False,True,True,False,True
2021300183,True,True,True,False,False,True,False,False,False,False,False,True
2021300184,False,True,True,True,False,True,True,True,True,True,False,True
2021300185,True,False,False,True,False,False,False,False,False,True,False,True
2021300186,True,False,False,True,False,False,True,False,True,False,False,False
2021300187,False,True,False,False,False,True,True,False,True,False,False,True
2021300188,True,True,False,True,False,True,True,False,True,True,True,True
2021300189,True,True,False,False,False,False,False,False,True,False,False,False
2021300190,False,True,True,True,True,False,False,False,False,False,True,False
2021300191,False,False,True,True,True,False,False,True,True,False,False,True
2021300192,True,True,False,True,True,True,True,True,False,True,True,True
2021300193,False,False,False,False,False,True,False,False,False,False,False,False
2021300194,True,True,False,True,True,False,False,True,True,True,True,True
2021300195,True,True,True,True,True,True,True,True,True,False,True,True
2021300196,True,True,True,True,True,True,False,False,True,False,True,False
2021300197,True,True,False,True,True,True,True,False,True,True,True,False
2021300198,False,True,False,True,False,True,True,True,False,True,True,False
2021300199,False,True,False,True,True,True,True,True,True,False,False,True
